trade_date,quote_time,quote_minute,symbol,symbol_name,contract_code,contract_name,position,expiry_date,days_to_expiry,futures_price,index_price,premium_points,premium_rate,annualized_rate,volume,open_interest,index_change,index_change_pct,source_futures,source_index,data_quality,quality_reason,freshness_seconds,is_continuous,is_main
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IF,沪深300,IF2612,沪深300指数期货2612,隔季月,2026-12-18,207,4710.2,4873.1962,-162.9962,-3.3447,-5.8977,7417.0,26011.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IH,上证50,IH2606,上证50指数期货2606,当月,2026-06-19,25,2943.2,2932.2402,10.9598,0.3738,5.457,38202.0,58574.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IH,上证50,IH2607,上证50指数期货2607,下月,2026-07-17,53,2913.2,2932.2402,-19.0402,-0.6493,-4.4719,2036.0,3991.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IH,上证50,IH2609,上证50指数期货2609,下季月,2026-09-18,116,2899.2,2932.2402,-33.0402,-1.1268,-3.5455,11334.0,38491.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IH,上证50,IH2612,上证50指数期货2612,隔季月,2026-12-18,207,2882.0,2932.2402,-50.2402,-1.7134,-3.0212,3370.0,10202.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IM,中证1000,IM2606,中证1000指数期货2606,当月,2026-06-19,25,8661.4,8756.4578,-95.0578,-1.0856,-15.8494,158385.0,214502.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IM,中证1000,IM2607,中证1000指数期货2607,下月,2026-07-17,53,8588.0,8756.4578,-168.4578,-1.9238,-13.2489,7064.0,10621.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IM,中证1000,IM2609,中证1000指数期货2609,下季月,2026-09-18,116,8434.6,8756.4578,-321.8578,-3.6757,-11.5657,48454.0,131803.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:58,2026-05-25 16:57,IM,中证1000,IM2612,中证1000指数期货2612,隔季月,2026-12-18,207,8223.0,8756.4578,-533.4578,-6.0922,-10.7422,17584.0,58331.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:59,2026-05-25 16:57,IF,沪深300,IF2606,沪深300指数期货2606,当月,2026-06-19,25,4852.6,4873.1962,-20.5962,-0.4226,-6.1706,69836.0,136285.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:57:59,2026-05-25 16:57,IF,沪深300,IF2607,沪深300指数期货2607,下月,2026-07-17,53,4814.8,4873.1962,-58.3962,-1.1983,-8.2525,2366.0,4218.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:59,2026-05-25 16:57,IF,沪深300,IF2609,沪深300指数期货2609,下季月,2026-09-18,116,4765.2,4873.1962,-107.9962,-2.2161,-6.9732,21809.0,84117.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:57:59,2026-05-25 16:57,IF,沪深300,IF2612,沪深300指数期货2612,隔季月,2026-12-18,207,4710.2,4873.1962,-162.9962,-3.3447,-5.8977,7417.0,26011.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:01,2026-05-25 16:58,IC,中证500,IC2606,中证500指数期货2606,当月,2026-06-19,25,8582.8,8631.2078,-48.4078,-0.5608,-8.1884,106542.0,156252.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:58:01,2026-05-25 16:58,IC,中证500,IC2607,中证500指数期货2607,下月,2026-07-17,53,8525.4,8631.2078,-105.8078,-1.2259,-8.4423,5101.0,7003.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:01,2026-05-25 16:58,IC,中证500,IC2609,中证500指数期货2609,下季月,2026-09-18,116,8405.0,8631.2078,-226.2078,-2.6208,-8.2465,35290.0,98858.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:01,2026-05-25 16:58,IC,中证500,IC2612,中证500指数期货2612,隔季月,2026-12-18,207,8251.6,8631.2078,-379.6078,-4.3981,-7.7551,10237.0,32615.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:02,2026-05-25 16:58,IH,上证50,IH2606,上证50指数期货2606,当月,2026-06-19,25,2943.2,2932.2402,10.9598,0.3738,5.457,38202.0,58574.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:58:02,2026-05-25 16:58,IH,上证50,IH2607,上证50指数期货2607,下月,2026-07-17,53,2913.2,2932.2402,-19.0402,-0.6493,-4.4719,2036.0,3991.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:02,2026-05-25 16:58,IH,上证50,IH2609,上证50指数期货2609,下季月,2026-09-18,116,2899.2,2932.2402,-33.0402,-1.1268,-3.5455,11334.0,38491.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:02,2026-05-25 16:58,IH,上证50,IH2612,上证50指数期货2612,隔季月,2026-12-18,207,2882.0,2932.2402,-50.2402,-1.7134,-3.0212,3370.0,10202.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:03,2026-05-25 16:58,IM,中证1000,IM2606,中证1000指数期货2606,当月,2026-06-19,25,8661.4,8756.4578,-95.0578,-1.0856,-15.8494,158385.0,214502.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:58:03,2026-05-25 16:58,IM,中证1000,IM2607,中证1000指数期货2607,下月,2026-07-17,53,8588.0,8756.4578,-168.4578,-1.9238,-13.2489,7064.0,10621.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:03,2026-05-25 16:58,IM,中证1000,IM2609,中证1000指数期货2609,下季月,2026-09-18,116,8434.6,8756.4578,-321.8578,-3.6757,-11.5657,48454.0,131803.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:58:03,2026-05-25 16:58,IM,中证1000,IM2612,中证1000指数期货2612,隔季月,2026-12-18,207,8223.0,8756.4578,-533.4578,-6.0922,-10.7422,17584.0,58331.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IC,中证500,IC2606,中证500指数期货2606,当月,2026-06-19,25,8582.8,8631.2078,-48.4078,-0.5608,-8.1884,106542.0,156252.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IC,中证500,IC2607,中证500指数期货2607,下月,2026-07-17,53,8525.4,8631.2078,-105.8078,-1.2259,-8.4423,5101.0,7003.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IC,中证500,IC2609,中证500指数期货2609,下季月,2026-09-18,116,8405.0,8631.2078,-226.2078,-2.6208,-8.2465,35290.0,98858.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IC,中证500,IC2612,中证500指数期货2612,隔季月,2026-12-18,207,8251.6,8631.2078,-379.6078,-4.3981,-7.7551,10237.0,32615.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IF,沪深300,IF2606,沪深300指数期货2606,当月,2026-06-19,25,4852.6,4873.1962,-20.5962,-0.4226,-6.1706,69836.0,136285.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IF,沪深300,IF2607,沪深300指数期货2607,下月,2026-07-17,53,4814.8,4873.1962,-58.3962,-1.1983,-8.2525,2366.0,4218.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IF,沪深300,IF2609,沪深300指数期货2609,下季月,2026-09-18,116,4765.2,4873.1962,-107.9962,-2.2161,-6.9732,21809.0,84117.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IF,沪深300,IF2612,沪深300指数期货2612,隔季月,2026-12-18,207,4710.2,4873.1962,-162.9962,-3.3447,-5.8977,7417.0,26011.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IH,上证50,IH2606,上证50指数期货2606,当月,2026-06-19,25,2943.2,2932.2402,10.9598,0.3738,5.457,38202.0,58574.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IH,上证50,IH2607,上证50指数期货2607,下月,2026-07-17,53,2913.2,2932.2402,-19.0402,-0.6493,-4.4719,2036.0,3991.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IH,上证50,IH2609,上证50指数期货2609,下季月,2026-09-18,116,2899.2,2932.2402,-33.0402,-1.1268,-3.5455,11334.0,38491.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IH,上证50,IH2612,上证50指数期货2612,隔季月,2026-12-18,207,2882.0,2932.2402,-50.2402,-1.7134,-3.0212,3370.0,10202.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IM,中证1000,IM2606,中证1000指数期货2606,当月,2026-06-19,25,8661.4,8756.4578,-95.0578,-1.0856,-15.8494,158385.0,214502.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IM,中证1000,IM2607,中证1000指数期货2607,下月,2026-07-17,53,8588.0,8756.4578,-168.4578,-1.9238,-13.2489,7064.0,10621.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IM,中证1000,IM2609,中证1000指数期货2609,下季月,2026-09-18,116,8434.6,8756.4578,-321.8578,-3.6757,-11.5657,48454.0,131803.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:18,2026-05-25 16:59,IM,中证1000,IM2612,中证1000指数期货2612,隔季月,2026-12-18,207,8223.0,8756.4578,-533.4578,-6.0922,-10.7422,17584.0,58331.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:19,2026-05-25 16:59,IC,中证500,IC2606,中证500指数期货2606,当月,2026-06-19,25,8582.8,8631.2078,-48.4078,-0.5608,-8.1884,106542.0,156252.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:59:19,2026-05-25 16:59,IC,中证500,IC2607,中证500指数期货2607,下月,2026-07-17,53,8525.4,8631.2078,-105.8078,-1.2259,-8.4423,5101.0,7003.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:19,2026-05-25 16:59,IC,中证500,IC2609,中证500指数期货2609,下季月,2026-09-18,116,8405.0,8631.2078,-226.2078,-2.6208,-8.2465,35290.0,98858.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:19,2026-05-25 16:59,IC,中证500,IC2612,中证500指数期货2612,隔季月,2026-12-18,207,8251.6,8631.2078,-379.6078,-4.3981,-7.7551,10237.0,32615.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:20,2026-05-25 16:59,IH,上证50,IH2606,上证50指数期货2606,当月,2026-06-19,25,2943.2,2932.2402,10.9598,0.3738,5.457,38202.0,58574.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:59:20,2026-05-25 16:59,IH,上证50,IH2607,上证50指数期货2607,下月,2026-07-17,53,2913.2,2932.2402,-19.0402,-0.6493,-4.4719,2036.0,3991.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:20,2026-05-25 16:59,IH,上证50,IH2609,上证50指数期货2609,下季月,2026-09-18,116,2899.2,2932.2402,-33.0402,-1.1268,-3.5455,11334.0,38491.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:20,2026-05-25 16:59,IH,上证50,IH2612,上证50指数期货2612,隔季月,2026-12-18,207,2882.0,2932.2402,-50.2402,-1.7134,-3.0212,3370.0,10202.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:21,2026-05-25 16:59,IM,中证1000,IM2606,中证1000指数期货2606,当月,2026-06-19,25,8661.4,8756.4578,-95.0578,-1.0856,-15.8494,158385.0,214502.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 16:59:21,2026-05-25 16:59,IM,中证1000,IM2607,中证1000指数期货2607,下月,2026-07-17,53,8588.0,8756.4578,-168.4578,-1.9238,-13.2489,7064.0,10621.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:21,2026-05-25 16:59,IM,中证1000,IM2609,中证1000指数期货2609,下季月,2026-09-18,116,8434.6,8756.4578,-321.8578,-3.6757,-11.5657,48454.0,131803.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 16:59:21,2026-05-25 16:59,IM,中证1000,IM2612,中证1000指数期货2612,隔季月,2026-12-18,207,8223.0,8756.4578,-533.4578,-6.0922,-10.7422,17584.0,58331.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IC,中证500,IC2606,中证500指数期货2606,当月,2026-06-19,25,8582.8,8631.2078,-48.4078,-0.5608,-8.1884,106542.0,156252.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IC,中证500,IC2607,中证500指数期货2607,下月,2026-07-17,53,8525.4,8631.2078,-105.8078,-1.2259,-8.4423,5101.0,7003.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IC,中证500,IC2609,中证500指数期货2609,下季月,2026-09-18,116,8405.0,8631.2078,-226.2078,-2.6208,-8.2465,35290.0,98858.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IC,中证500,IC2612,中证500指数期货2612,隔季月,2026-12-18,207,8251.6,8631.2078,-379.6078,-4.3981,-7.7551,10237.0,32615.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IF,沪深300,IF2606,沪深300指数期货2606,当月,2026-06-19,25,4852.6,4873.1962,-20.5962,-0.4226,-6.1706,69836.0,136285.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IF,沪深300,IF2607,沪深300指数期货2607,下月,2026-07-17,53,4814.8,4873.1962,-58.3962,-1.1983,-8.2525,2366.0,4218.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IF,沪深300,IF2609,沪深300指数期货2609,下季月,2026-09-18,116,4765.2,4873.1962,-107.9962,-2.2161,-6.9732,21809.0,84117.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IF,沪深300,IF2612,沪深300指数期货2612,隔季月,2026-12-18,207,4710.2,4873.1962,-162.9962,-3.3447,-5.8977,7417.0,26011.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IH,上证50,IH2606,上证50指数期货2606,当月,2026-06-19,25,2943.2,2932.2402,10.9598,0.3738,5.457,38202.0,58574.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IH,上证50,IH2607,上证50指数期货2607,下月,2026-07-17,53,2913.2,2932.2402,-19.0402,-0.6493,-4.4719,2036.0,3991.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IH,上证50,IH2609,上证50指数期货2609,下季月,2026-09-18,116,2899.2,2932.2402,-33.0402,-1.1268,-3.5455,11334.0,38491.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IH,上证50,IH2612,上证50指数期货2612,隔季月,2026-12-18,207,2882.0,2932.2402,-50.2402,-1.7134,-3.0212,3370.0,10202.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IM,中证1000,IM2606,中证1000指数期货2606,当月,2026-06-19,25,8661.4,8756.4578,-95.0578,-1.0856,-15.8494,158385.0,214502.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IM,中证1000,IM2607,中证1000指数期货2607,下月,2026-07-17,53,8588.0,8756.4578,-168.4578,-1.9238,-13.2489,7064.0,10621.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IM,中证1000,IM2609,中证1000指数期货2609,下季月,2026-09-18,116,8434.6,8756.4578,-321.8578,-3.6757,-11.5657,48454.0,131803.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:38,2026-05-25 17:00,IM,中证1000,IM2612,中证1000指数期货2612,隔季月,2026-12-18,207,8223.0,8756.4578,-533.4578,-6.0922,-10.7422,17584.0,58331.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:40,2026-05-25 17:00,IF,沪深300,IF2606,沪深300指数期货2606,当月,2026-06-19,25,4852.6,4873.1962,-20.5962,-0.4226,-6.1706,69836.0,136285.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:40,2026-05-25 17:00,IF,沪深300,IF2607,沪深300指数期货2607,下月,2026-07-17,53,4814.8,4873.1962,-58.3962,-1.1983,-8.2525,2366.0,4218.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:40,2026-05-25 17:00,IF,沪深300,IF2609,沪深300指数期货2609,下季月,2026-09-18,116,4765.2,4873.1962,-107.9962,-2.2161,-6.9732,21809.0,84117.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:40,2026-05-25 17:00,IF,沪深300,IF2612,沪深300指数期货2612,隔季月,2026-12-18,207,4710.2,4873.1962,-162.9962,-3.3447,-5.8977,7417.0,26011.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:41,2026-05-25 17:00,IC,中证500,IC2606,中证500指数期货2606,当月,2026-06-19,25,8582.8,8631.2078,-48.4078,-0.5608,-8.1884,106542.0,156252.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:41,2026-05-25 17:00,IC,中证500,IC2607,中证500指数期货2607,下月,2026-07-17,53,8525.4,8631.2078,-105.8078,-1.2259,-8.4423,5101.0,7003.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:41,2026-05-25 17:00,IC,中证500,IC2609,中证500指数期货2609,下季月,2026-09-18,116,8405.0,8631.2078,-226.2078,-2.6208,-8.2465,35290.0,98858.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:41,2026-05-25 17:00,IC,中证500,IC2612,中证500指数期货2612,隔季月,2026-12-18,207,8251.6,8631.2078,-379.6078,-4.3981,-7.7551,10237.0,32615.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:42,2026-05-25 17:00,IH,上证50,IH2606,上证50指数期货2606,当月,2026-06-19,25,2943.2,2932.2402,10.9598,0.3738,5.457,38202.0,58574.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:42,2026-05-25 17:00,IH,上证50,IH2607,上证50指数期货2607,下月,2026-07-17,53,2913.2,2932.2402,-19.0402,-0.6493,-4.4719,2036.0,3991.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:42,2026-05-25 17:00,IH,上证50,IH2609,上证50指数期货2609,下季月,2026-09-18,116,2899.2,2932.2402,-33.0402,-1.1268,-3.5455,11334.0,38491.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:42,2026-05-25 17:00,IH,上证50,IH2612,上证50指数期货2612,隔季月,2026-12-18,207,2882.0,2932.2402,-50.2402,-1.7134,-3.0212,3370.0,10202.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:44,2026-05-25 17:00,IM,中证1000,IM2606,中证1000指数期货2606,当月,2026-06-19,25,8661.4,8756.4578,-95.0578,-1.0856,-15.8494,158385.0,214502.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:00:44,2026-05-25 17:00,IM,中证1000,IM2607,中证1000指数期货2607,下月,2026-07-17,53,8588.0,8756.4578,-168.4578,-1.9238,-13.2489,7064.0,10621.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:44,2026-05-25 17:00,IM,中证1000,IM2609,中证1000指数期货2609,下季月,2026-09-18,116,8434.6,8756.4578,-321.8578,-3.6757,-11.5657,48454.0,131803.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:00:44,2026-05-25 17:00,IM,中证1000,IM2612,中证1000指数期货2612,隔季月,2026-12-18,207,8223.0,8756.4578,-533.4578,-6.0922,-10.7422,17584.0,58331.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:18,2026-05-25 17:02,IF,沪深300,IF2606,沪深300指数期货2606,当月,2026-06-19,25,4852.6,4873.1962,-20.5962,-0.4226,-6.1706,69836.0,136285.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:02:18,2026-05-25 17:02,IF,沪深300,IF2607,沪深300指数期货2607,下月,2026-07-17,53,4814.8,4873.1962,-58.3962,-1.1983,-8.2525,2366.0,4218.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:18,2026-05-25 17:02,IF,沪深300,IF2609,沪深300指数期货2609,下季月,2026-09-18,116,4765.2,4873.1962,-107.9962,-2.2161,-6.9732,21809.0,84117.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:18,2026-05-25 17:02,IF,沪深300,IF2612,沪深300指数期货2612,隔季月,2026-12-18,207,4710.2,4873.1962,-162.9962,-3.3447,-5.8977,7417.0,26011.0,28.1006,0.58,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IC,中证500,IC2606,中证500指数期货2606,当月,2026-06-19,25,8582.8,8631.2078,-48.4078,-0.5608,-8.1884,106542.0,156252.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IC,中证500,IC2607,中证500指数期货2607,下月,2026-07-17,53,8525.4,8631.2078,-105.8078,-1.2259,-8.4423,5101.0,7003.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IC,中证500,IC2609,中证500指数期货2609,下季月,2026-09-18,116,8405.0,8631.2078,-226.2078,-2.6208,-8.2465,35290.0,98858.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IC,中证500,IC2612,中证500指数期货2612,隔季月,2026-12-18,207,8251.6,8631.2078,-379.6078,-4.3981,-7.7551,10237.0,32615.0,54.2676,0.6327,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IH,上证50,IH2606,上证50指数期货2606,当月,2026-06-19,25,2943.2,2932.2402,10.9598,0.3738,5.457,38202.0,58574.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IH,上证50,IH2607,上证50指数期货2607,下月,2026-07-17,53,2913.2,2932.2402,-19.0402,-0.6493,-4.4719,2036.0,3991.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IH,上证50,IH2609,上证50指数期货2609,下季月,2026-09-18,116,2899.2,2932.2402,-33.0402,-1.1268,-3.5455,11334.0,38491.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IH,上证50,IH2612,上证50指数期货2612,隔季月,2026-12-18,207,2882.0,2932.2402,-50.2402,-1.7134,-3.0212,3370.0,10202.0,8.7154,0.2981,akshare_realtime,sina_index,ok,,0.0,False,False
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IM,中证1000,IM2606,中证1000指数期货2606,当月,2026-06-19,25,8661.4,8756.4578,-95.0578,-1.0856,-15.8494,158385.0,214502.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,True
2026-05-25,2026-05-25 17:02:19,2026-05-25 17:02,IM,中证1000,IM2607,中证1000指数期货2607,下月,2026-07-17,53,8588.0,8756.4578,-168.4578,-1.9238,-13.2489,7064.0,10621.0,63.7923,0.7339,sina_futures,sina_index,ok,,0.0,False,False
